****Header****
date 01/15/25 03:41:35
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2104
Emissivity:	   1.0000
FF:	   0.8001
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5679
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9431
Iref1:	  13.5869
Iref2:	N/A
Isc:	  13.5889
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:41:35.666000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:41:35.918000
Pmax:	 542.1232
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1747.0000
Rs:	   0.2720
Rsh:  565.7328
Snr: A8C7A0E
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  23.6186
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.8642
Vpmax:	  41.8852
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 02415532-7137-41ee-a89a-a185c0f83599

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0024,19.9491,13.5411,23.3168,1000.3404,13.5446,23.6113,1000.3404
0.0024,20.0925,13.5372,23.4540,1000.3404,13.5407,23.7512,1000.3404
0.0024,20.2359,13.5352,23.5913,1000.2234,13.5403,23.8909,1000.2234
0.0024,20.3793,13.5313,23.7392,1000.1648,13.5372,24.0413,1000.1648
0.0024,20.5226,13.5352,23.8764,1000.2819,13.5395,24.1823,1000.2819
0.0024,20.6583,13.5352,24.0137,1000.6329,13.5347,24.3238,1000.6329
0.0024,20.7939,13.5352,24.1827,1000.3989,13.5379,24.4955,1000.3989
0.0024,20.9295,13.5293,24.3199,1000.2819,13.5336,24.6348,1000.2819
0.0024,21.0651,13.5313,24.4467,1000.5159,13.5324,24.7652,1000.5159
0.0024,21.2008,13.5352,24.5945,1000.4574,13.5371,24.9163,1000.4574
0.0024,21.3364,13.5293,24.7423,1000.3989,13.5320,25.0666,1000.3989
0.0024,21.4720,13.5273,24.9007,1000.6329,13.5269,25.2291,1000.6329
0.0024,21.6076,13.5273,25.0169,1000.5744,13.5277,25.3475,1000.5744
0.0024,21.7433,13.5273,25.1647,1000.3989,13.5301,25.4979,1000.3989
0.0024,21.8789,13.5313,25.2915,1000.5744,13.5316,25.6283,1000.5744
0.0024,22.0145,13.5332,25.4182,1000.3989,13.5360,25.7572,1000.3989
0.0024,22.1501,13.5254,25.5766,1000.2819,13.5297,25.9179,1000.2819
0.0024,22.2858,13.5254,25.6822,1000.2819,13.5297,26.0258,1000.2819
0.0024,22.4160,13.5254,25.8406,1000.3989,13.5281,26.1880,1000.3989
0.0024,22.5419,13.5313,26.0095,1000.3404,13.5348,26.3608,1000.3404
0.0024,22.6678,13.5293,26.1151,1000.4574,13.5312,26.4689,1000.4574
0.0025,22.7938,13.5313,26.2630,1000.4574,13.5332,26.6201,1000.4574
0.0025,22.9197,13.5293,26.4002,1000.4574,13.5312,26.7601,1000.4574
