****Header****
date 01/15/25 03:03:53
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2098
Emissivity:	   1.0000
FF:	   0.7974
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5107
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9025
Iref1:	  13.5782
Iref2:	N/A
Isc:	  13.5792
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:03:53.678000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:03:53.877000
Pmax:	 540.5840
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1792.0000
Rs:	   0.2799
Rsh:  582.0489
Snr: A8C7A02
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  25.9966
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.9240
Vpmax:	  41.8977
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 7a6a6e3d-4c26-44f3-aec8-d61bb2f08982

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0020,9.3311,13.5666,12.4190,1000.1063,13.5593,12.8279,1000.1063
0.0020,9.4821,13.5725,12.5774,1000.1063,13.5652,12.9901,1000.1063
0.0020,9.6331,13.5706,12.7358,999.8138,13.5672,13.1506,999.8138
0.0020,9.7842,13.5647,12.8942,999.9308,13.5597,13.3124,999.9308
0.0020,9.9352,13.5627,13.0526,1000.1063,13.5554,13.4747,1000.1063
0.0020,10.0862,13.5588,13.2215,1000.1063,13.5514,13.6469,1000.1063
0.0020,10.2372,13.5568,13.3377,1000.2819,13.5471,13.7661,1000.2819
0.0020,10.3882,13.5607,13.5172,1000.4574,13.5486,13.9504,1000.4574
0.0020,10.5392,13.5568,13.6756,1000.2819,13.5471,14.1112,1000.2819
0.0020,10.6902,13.5627,13.8023,1000.1063,13.5554,14.2404,1000.1063
0.0020,10.8412,13.5607,13.9502,1000.3989,13.5494,14.3923,1000.3989
0.0021,10.9922,13.5548,14.1085,1000.0478,13.5483,14.5523,1000.0478
0.0021,11.1432,13.5548,14.2669,999.9893,13.5491,14.7139,999.9893
0.0021,11.2943,13.5548,14.4253,1000.3989,13.5435,14.8772,1000.3989
0.0021,11.4453,13.5568,14.5837,1000.2819,13.5471,15.0387,1000.2819
0.0021,11.5963,13.5607,14.7316,1000.2234,13.5518,15.1898,1000.2234
0.0021,11.7473,13.5588,14.8794,1000.3404,13.5483,15.3410,1000.3404
0.0021,11.8983,13.5548,15.0378,1000.3404,13.5443,15.5025,1000.3404
0.0021,12.0493,13.5588,15.1857,1000.2819,13.5491,15.6536,1000.2819
0.0021,12.2003,13.5607,15.3546,1000.2819,13.5510,15.8263,1000.2819
0.0021,12.3513,13.5548,15.5130,1000.3989,13.5435,15.9880,1000.3989
0.0021,12.5023,13.5548,15.6609,1000.1648,13.5467,16.1381,1000.1648
0.0021,12.6533,13.5529,15.8192,1000.1063,13.5455,16.2995,1000.1063
