****Header****
date 01/15/25 03:35:58
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2119
Emissivity:	   1.0000
FF:	   0.8032
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5068
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9438
Iref1:	  13.6073
Iref2:	N/A
Isc:	  13.5993
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:35:58.216000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:35:58.445000
Pmax:	 546.0381
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1757.0000
Rs:	   0.2686
Rsh:  594.2501
Snr: A8C7A0F
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  26.7726
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.9909
Vpmax:	  42.1852
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 29c3c37c-aa32-4e07-9516-f8d38b15f57a

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0022,17.0258,13.5725,20.3072,1000.3404,13.5574,20.9966,1000.3404
0.0023,17.1744,13.5765,20.4762,1000.4574,13.5598,21.1699,1000.4574
0.0023,17.3231,13.5784,20.6240,1000.2819,13.5641,21.3204,1000.2819
0.0023,17.4717,13.5765,20.7613,1000.2234,13.5630,21.4603,1000.2234
0.0023,17.6204,13.5784,20.9197,1000.0478,13.5673,21.6216,1000.0478
0.0023,17.7690,13.5784,21.0675,1000.1063,13.5665,21.7728,1000.1063
0.0023,17.9177,13.5706,21.2259,1000.2819,13.5563,21.9346,1000.2819
0.0023,18.0663,13.5725,21.3632,1000.1648,13.5598,22.0745,1000.1648
0.0023,18.2150,13.5725,21.5110,1000.1648,13.5598,22.2255,1000.1648
0.0023,18.3636,13.5745,21.6905,1000.1063,13.5626,22.4088,1000.1063
0.0023,18.5123,13.5745,21.8384,1000.1063,13.5626,22.5598,1000.1063
0.0023,18.6585,13.5706,21.9757,1000.2234,13.5571,22.7001,1000.2234
0.0023,18.8019,13.5706,22.1235,1000.4574,13.5539,22.8519,1000.4574
0.0023,18.9453,13.5706,22.2925,1000.2234,13.5571,23.0236,1000.2234
0.0023,19.0887,13.5706,22.4509,1000.2234,13.5571,23.1854,1000.2234
0.0023,19.2321,13.5725,22.5881,1000.2234,13.5590,23.3258,1000.2234
0.0023,19.3755,13.5706,22.7360,1000.2234,13.5571,23.4766,1000.2234
0.0023,19.5189,13.5706,22.8732,1000.2234,13.5571,23.6168,1000.2234
0.0023,19.6623,13.5725,23.0211,1000.0478,13.5614,23.7673,1000.0478
0.0023,19.8057,13.5745,23.1689,1000.2234,13.5610,23.9191,1000.2234
0.0024,19.9491,13.5725,23.3062,1000.1063,13.5606,24.0587,1000.1063
0.0024,20.0925,13.5706,23.4646,1000.0478,13.5595,24.2201,1000.0478
0.0024,20.2359,13.5706,23.6230,1000.2234,13.5571,24.3825,1000.2234
0.0024,20.3793,13.5686,23.7708,1000.2234,13.5551,24.5334,1000.2234
0.0024,20.5226,13.5666,23.8976,1000.1648,13.5539,24.6624,1000.1648
0.0024,20.6583,13.5686,24.0454,1000.2234,13.5551,24.8138,1000.2234
0.0024,20.7939,13.5627,24.1932,1000.2234,13.5492,24.9643,1000.2234
0.0024,20.9295,13.5666,24.3305,1000.1063,13.5547,25.1044,1000.1063
0.0024,21.0651,13.5745,24.4783,1000.2234,13.5610,25.2564,1000.2234
0.0024,21.2008,13.5706,24.6156,1000.2234,13.5571,25.3963,1000.2234
0.0024,21.3364,13.5686,24.7529,1000.1063,13.5567,25.5359,1000.1063
0.0024,21.4720,13.5725,24.9113,1000.2234,13.5590,25.6984,1000.2234
0.0024,21.6076,13.5686,25.0275,1000.2234,13.5551,25.8168,1000.2234
0.0024,21.7433,13.5666,25.1753,999.9893,13.5563,25.9668,999.9893
0.0024,21.8789,13.5647,25.3337,1000.0478,13.5536,26.1286,1000.0478
0.0024,22.0145,13.5666,25.4499,999.9308,13.5571,26.2469,999.9308
0.0024,22.1501,13.5627,25.5766,999.9308,13.5532,26.3761,999.9308
0.0024,22.2858,13.5588,25.7350,999.9893,13.5485,26.5377,999.9893
0.0024,22.4160,13.5627,25.8617,1000.2819,13.5484,26.6685,1000.2819
0.0024,22.5419,13.5568,25.9990,1000.1648,13.5441,26.8078,1000.1648
0.0024,22.6678,13.5588,26.1468,999.9308,13.5493,26.9581,999.9308
0.0025,22.7938,13.5627,26.2735,1000.1648,13.5500,27.0887,1000.1648
0.0025,22.9197,13.5627,26.4002,1000.1063,13.5508,27.2179,1000.1063
0.0025,23.0457,13.5647,26.5481,999.8723,13.5559,27.3682,999.8723
0.0025,23.1716,13.5607,26.6537,999.8723,13.5520,27.4757,999.8723
