****Header****
date 01/15/25 06:21:04
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2116
Emissivity:	   1.0000
FF:	   0.8008
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5619
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9363
Iref1:	  13.5672
Iref2:	N/A
Isc:	  13.5667
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0015
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 06:21:03.807000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 06:21:04.268000
Pmax:	 545.3422
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1595.0000
Rs:	   0.2747
Rsh:  534.2642
Snr: A8C7A2A
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  23.5491
TempMC:	  24.3927
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.1941
Vpmax:	  42.1558
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: b452bc51-1b50-482b-8e35-4dfe4f86c785

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0023,17.3231,13.5234,20.6240,1000.8084,13.5210,20.8494,1000.8084
0.0023,17.4717,13.5273,20.7824,1000.5744,13.5281,21.0106,1000.5744
0.0023,17.6204,13.5254,20.9197,1000.6914,13.5245,21.1511,1000.6914
0.0023,17.7690,13.5195,21.0886,1000.7499,13.5179,21.3234,1000.7499
0.0023,17.9177,13.5195,21.2153,1000.8084,13.5171,21.4530,1000.8084
0.0023,18.0663,13.5175,21.3526,1000.9255,13.5135,21.5935,1000.9255
0.0023,18.2150,13.5254,21.5427,1000.8084,13.5230,21.7878,1000.8084
0.0023,18.3636,13.5195,21.6800,1000.8084,13.5171,21.9275,1000.8084
0.0023,18.5123,13.5234,21.8278,1000.8084,13.5210,22.0788,1000.8084
0.0023,18.6585,13.5195,21.9862,1000.8084,13.5171,22.2402,1000.8084
0.0023,18.8019,13.5155,22.1341,1000.7499,13.5139,22.3906,1000.7499
0.0023,18.9453,13.5136,22.2925,1000.9255,13.5096,22.5529,1000.9255
0.0023,19.0887,13.5175,22.4403,1000.8670,13.5143,22.7039,1000.8670
0.0023,19.2321,13.5195,22.5881,1000.8670,13.5163,22.8551,1000.8670
0.0023,19.3755,13.5155,22.7465,1000.9255,13.5115,23.0167,1000.9255
0.0023,19.5189,13.5136,22.8732,1000.9255,13.5096,23.1460,1000.9255
0.0023,19.6623,13.5155,23.0211,1000.9255,13.5115,23.2971,1000.9255
0.0023,19.8057,13.5077,23.1689,1000.9840,13.5029,23.4477,1000.9840
0.0024,19.9491,13.5116,23.3168,1000.8670,13.5084,23.5985,1000.8670
0.0024,20.0925,13.5096,23.4540,1000.8670,13.5064,23.7385,1000.8670
0.0024,20.2359,13.5136,23.6124,1000.6914,13.5128,23.8999,1000.6914
0.0024,20.3793,13.5155,23.7392,1000.6329,13.5155,24.0293,1000.6329
0.0024,20.5226,13.5116,23.8870,1000.3989,13.5148,24.1791,1000.3989
