****Header****
date 01/15/25 03:30:16
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2129
Emissivity:	   1.0000
FF:	   0.8071
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5280
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9602
Iref1:	  13.5819
Iref2:	N/A
Isc:	  13.5801
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0011
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:30:16.742000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:30:16.969000
Pmax:	 548.6479
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1764.0000
Rs:	   0.2579
Rsh:  649.5431
Snr: A8C7A0B
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  24.4354
TempMC:	  24.5715
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.0582
Vpmax:	  42.3333
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 523c2781-5fb1-439d-9ef6-5fc327a3e6fb

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0021,11.2943,13.5627,14.4148,1000.3989,13.5606,14.6392,1000.3989
0.0021,11.4453,13.5607,14.5732,1000.3404,13.5594,14.8006,1000.3404
0.0021,11.5963,13.5568,14.7316,1000.2819,13.5563,14.9618,1000.2819
0.0021,11.7473,13.5607,14.8900,1000.2234,13.5610,15.1237,1000.2234
0.0021,11.8983,13.5588,15.0378,1000.2234,13.5591,15.2745,1000.2234
0.0021,12.0493,13.5568,15.1962,1000.5159,13.5531,15.4372,1000.5159
0.0021,12.2003,13.5529,15.3546,1000.3989,13.5508,15.5982,1000.3989
0.0021,12.3513,13.5568,15.5236,1000.5744,13.5523,15.7717,1000.5744
0.0021,12.5023,13.5548,15.6503,1000.3404,13.5535,15.9001,1000.3404
0.0021,12.6533,13.5548,15.8087,1000.4574,13.5520,16.0623,1000.4574
0.0021,12.8044,13.5509,15.9776,1000.4574,13.5480,16.2345,1000.4574
0.0021,12.9554,13.5529,16.1149,1000.5159,13.5492,16.3751,1000.5159
0.0021,13.1064,13.5509,16.2839,1000.4574,13.5480,16.5473,1000.4574
0.0021,13.2574,13.5568,16.4212,1000.3404,13.5555,16.6875,1000.3404
0.0021,13.4084,13.5509,16.5796,1000.2819,13.5504,16.8486,1000.2819
0.0021,13.5594,13.5470,16.7380,1000.0478,13.5497,17.0093,1000.0478
0.0021,13.7104,13.5509,16.8858,1000.1648,13.5520,17.1610,1000.1648
0.0021,13.8614,13.5529,17.0759,1000.3404,13.5516,17.3558,1000.3404
0.0022,14.0124,13.5509,17.2237,1000.2819,13.5504,17.5065,1000.2819
0.0022,14.1634,13.5489,17.3716,1000.3404,13.5477,17.6575,1000.3404
0.0022,14.3144,13.5470,17.5299,1000.4574,13.5441,17.8195,1000.4574
0.0022,14.4655,13.5489,17.6883,1000.3989,13.5469,17.9812,1000.3989
0.0022,14.6165,13.5548,17.8467,1000.2234,13.5551,18.1428,1000.2234
0.0022,14.7675,13.5509,18.0051,1000.3404,13.5496,18.3047,1000.3404
0.0022,14.9185,13.5529,18.1424,1000.2819,13.5524,18.4449,1000.2819
0.0022,15.0695,13.5470,18.3008,1000.3989,13.5449,18.6066,1000.3989
0.0022,15.2205,13.5489,18.4803,1000.3404,13.5477,18.7898,1000.3404
0.0022,15.3715,13.5509,18.6176,1000.2819,13.5504,18.9300,1000.2819
0.0022,15.5225,13.5509,18.7760,1000.2234,13.5512,19.0915,1000.2234
0.0022,15.6735,13.5489,18.9239,1000.2819,13.5484,19.2426,1000.2819
0.0022,15.8245,13.5489,19.0928,1000.1648,13.5500,19.4147,1000.1648
0.0022,15.9756,13.5509,19.2301,1000.0478,13.5536,19.5547,1000.0478
0.0022,16.1266,13.5450,19.3885,1000.3404,13.5437,19.7170,1000.3404
0.0022,16.2776,13.5450,19.5469,1000.1063,13.5469,19.8779,1000.1063
0.0022,16.4286,13.5489,19.6842,1000.2819,13.5484,20.0190,1000.2819
0.0022,16.5796,13.5470,19.8531,1000.1648,13.5481,20.1910,1000.1648
0.0022,16.7285,13.5470,20.0221,1000.2234,13.5473,20.3638,1000.2234
0.0022,16.8771,13.5470,20.1488,1000.1063,13.5489,20.4928,1000.1063
0.0022,17.0258,13.5391,20.2861,999.9893,13.5426,20.6320,999.9893
0.0023,17.1744,13.5391,20.4656,999.9893,13.5426,20.8153,999.9893
0.0023,17.3231,13.5470,20.6029,1000.0478,13.5497,20.9563,1000.0478
0.0023,17.4717,13.5391,20.7718,999.9893,13.5426,21.1280,999.9893
0.0023,17.6204,13.5391,20.8985,1000.2819,13.5386,21.2585,1000.2819
0.0023,17.7690,13.5391,21.0569,1000.2234,13.5394,21.4200,1000.2234
0.0023,17.9177,13.5391,21.2153,999.9308,13.5434,21.5808,999.9308
0.0023,18.0663,13.5372,21.3737,1000.0478,13.5398,21.7428,1000.0478
0.0023,18.2150,13.5391,21.5216,1000.1648,13.5402,21.8943,1000.1648
0.0023,18.3636,13.5372,21.6694,1000.2234,13.5374,22.0454,1000.2234
0.0023,18.5123,13.5411,21.8278,999.8723,13.5461,22.2062,999.8723
0.0023,18.6585,13.5391,21.9651,1000.0478,13.5418,22.3469,1000.0478
0.0023,18.8019,13.5372,22.1341,1000.1063,13.5390,22.5195,1000.1063
0.0023,18.9453,13.5352,22.2608,1000.0478,13.5379,22.6485,1000.0478
0.0023,19.0887,13.5391,22.4192,1000.2234,13.5394,22.8112,1000.2234
0.0023,19.2321,13.5352,22.5670,1000.1063,13.5371,22.9615,1000.1063
0.0023,19.3755,13.5372,22.7148,1000.1648,13.5382,23.1128,1000.1648
0.0023,19.5189,13.5352,22.8732,1000.2819,13.5347,23.2748,1000.2819
0.0023,19.6623,13.5352,23.0105,1000.1063,13.5371,23.4144,1000.1063
0.0023,19.8057,13.5313,23.1795,1000.1063,13.5331,23.5866,1000.1063
0.0024,19.9491,13.5332,23.2956,1000.1063,13.5351,23.7054,1000.1063
0.0024,20.0925,13.5332,23.4540,1000.1648,13.5343,23.8674,1000.1648
0.0024,20.2359,13.5391,23.6019,1000.0478,13.5418,24.0184,1000.0478
0.0024,20.3793,13.5332,23.7497,1000.1063,13.5351,24.1691,1000.1063
0.0024,20.5226,13.5332,23.8870,1000.1648,13.5343,24.3095,1000.1648
0.0024,20.6583,13.5332,24.0137,1000.1063,13.5351,24.4388,1000.1063
0.0024,20.7939,13.5352,24.1932,1000.1648,13.5363,24.6224,1000.1648
0.0024,20.9295,13.5332,24.3199,1000.1063,13.5351,24.7515,1000.1063
0.0024,21.0651,13.5352,24.4678,999.9893,13.5387,24.9022,999.9893
0.0024,21.2008,13.5273,24.6156,1000.3404,13.5260,25.0538,1000.3404
0.0024,21.3364,13.5234,24.7529,1000.3989,13.5213,25.1939,1000.3989
