****Header****
date 01/15/25 04:13:22
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2131
Emissivity:	   1.0000
FF:	   0.8079
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.4925
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9777
Iref1:	  13.5786
Iref2:	N/A
Isc:	  13.5800
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 04:13:21.855000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 04:13:22.070000
Pmax:	 549.1092
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1716.0000
Rs:	   0.2578
Rsh:  687.7649
Snr: A8C7A2B
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  23.7829
TempMC:	  23.7669
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.0488
Vpmax:	  42.3119
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 92423395-d802-44be-97a2-371e97fc5493

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0021,12.6533,13.5411,15.7981,1000.0478,13.5476,15.9543,1000.0478
0.0021,12.8044,13.5470,15.9671,999.9308,13.5551,16.1269,999.9308
0.0021,12.9554,13.5470,16.1360,999.8138,13.5567,16.2990,999.8138
0.0021,13.1064,13.5548,16.2839,999.9308,13.5630,16.4511,999.9308
0.0021,13.2574,13.5489,16.4212,999.9893,13.5563,16.5910,999.9893
0.0021,13.4084,13.5470,16.6112,999.9893,13.5543,16.7850,999.9893
0.0021,13.5594,13.5450,16.7591,999.9893,13.5523,16.9358,999.9893
0.0021,13.7104,13.5470,16.9069,999.6383,13.5591,17.0857,999.6383
0.0021,13.8614,13.5391,17.0653,999.5798,13.5520,17.2466,999.5798
0.0022,14.0124,13.5470,17.2132,999.6383,13.5591,17.3984,999.6383
0.0022,14.1634,13.5489,17.3821,999.7553,13.5594,17.5716,999.7553
0.0022,14.3144,13.5489,17.5299,999.8723,13.5579,17.7229,999.8723
0.0022,14.4655,13.5489,17.7095,999.9308,13.5571,17.9065,999.9308
0.0022,14.6165,13.5470,17.8151,1000.0478,13.5535,18.0146,1000.0478
0.0022,14.7675,13.5450,18.0051,1000.1063,13.5508,18.2087,1000.1063
0.0022,14.9185,13.5450,18.1530,1000.1063,13.5508,18.3597,1000.1063
0.0022,15.0695,13.5470,18.2797,999.8723,13.5559,18.4885,999.8723
0.0022,15.2205,13.5391,18.4487,1000.0478,13.5456,18.6610,1000.0478
0.0022,15.3715,13.5470,18.6071,999.9893,13.5543,18.8232,999.9893
0.0022,15.5225,13.5450,18.7655,1000.0478,13.5515,18.9850,1000.0478
0.0022,15.6735,13.5470,18.9133,1000.1648,13.5519,19.1366,1000.1648
0.0022,15.8245,13.5470,19.0823,1000.1648,13.5519,19.3091,1000.1648
0.0022,15.9756,13.5489,19.2195,1000.1063,13.5547,19.4493,1000.1063
0.0022,16.1266,13.5489,19.3990,1000.1063,13.5547,19.6326,1000.1063
